iter	MultiClass
0	1.597334208
1	1.5837998
2	1.57050007
3	1.560716361
4	1.549980489
5	1.539238218
6	1.527342564
7	1.516913949
8	1.505988105
9	1.497367996
10	1.487789433
11	1.479733765
12	1.470505609
13	1.460279721
14	1.453711814
15	1.446726132
16	1.438554105
17	1.430341363
18	1.423246388
19	1.416558466
20	1.411836095
21	1.406281786
22	1.400406871
23	1.394861492
24	1.389462548
25	1.383421474
26	1.377604719
27	1.371489834
28	1.365461084
29	1.358846242
30	1.354297596
31	1.349197006
32	1.34449558
33	1.340827271
34	1.336187061
35	1.331764593
36	1.327854133
37	1.323546781
38	1.318906248
39	1.313931842
40	1.310676798
41	1.306382564
42	1.303060005
43	1.298531246
44	1.294818901
45	1.292844164
46	1.289593642
47	1.286745563
48	1.283334154
49	1.281915015
50	1.278254539
51	1.274066371
52	1.270861829
53	1.267567902
54	1.264319942
55	1.261165808
56	1.258150713
57	1.255683787
58	1.252431511
59	1.251170418
60	1.247988556
61	1.245623526
62	1.243381634
63	1.241030335
64	1.238632804
65	1.237785943
66	1.236151092
67	1.234162699
68	1.231802896
69	1.229595115
70	1.227420185
71	1.225388005
72	1.223198169
73	1.221100381
74	1.218796211
75	1.216673452
76	1.213890756
77	1.212205753
78	1.210035756
79	1.208036342
80	1.206611431
81	1.206065843
82	1.203712854
83	1.203229961
84	1.201659086
85	1.199691821
86	1.196805847
87	1.194994778
88	1.192400272
89	1.190291405
90	1.188748284
91	1.186275238
92	1.1843716
93	1.181959989
94	1.180914631
95	1.178952966
96	1.178499795
97	1.17656942
98	1.175488489
99	1.173423555
100	1.172276178
101	1.170613218
102	1.168692094
103	1.167361474
104	1.165595689
105	1.163904994
106	1.162861882
107	1.160935371
108	1.160032214
109	1.158741332
110	1.157305155
111	1.156398873
112	1.1556214
113	1.154178639
114	1.152801199
115	1.15176163
116	1.151079525
117	1.14994582
118	1.14864307
119	1.146675809
120	1.145016113
121	1.143934857
122	1.142475024
123	1.141778788
124	1.141049501
125	1.139871206
126	1.139179703
127	1.138657084
128	1.137556353
129	1.136835804
130	1.135927875
131	1.134648972
132	1.133403657
133	1.13301229
134	1.131442699
