iter	Passed	Remaining
0	18	147574
1	39	157768
2	59	158234
3	79	158169
4	99	159058
5	120	160012
6	139	159392
7	158	158641
8	179	159353
9	198	158920
10	217	157936
11	236	157435
12	255	156981
13	274	156337
14	291	155387
15	309	154595
16	328	154073
17	346	153731
18	363	152548
19	380	151921
20	399	151826
21	417	151496
22	436	151487
23	454	151205
24	471	150263
25	489	150234
26	509	150337
27	527	150121
28	546	150221
29	566	150502
30	587	150938
31	605	150843
32	625	150985
33	644	151060
34	663	150977
35	683	151204
36	703	151443
37	723	151575
38	741	151278
39	758	150934
40	774	150350
41	795	150803
42	814	150736
43	835	151080
44	853	150826
45	868	150245
46	886	150040
47	903	149723
48	922	149630
49	933	148391
50	951	148286
51	971	148500
52	991	148676
53	1011	148782
54	1032	149139
55	1051	149172
56	1073	149607
57	1092	149578
58	1110	149404
59	1128	149298
60	1147	149290
61	1165	149245
62	1186	149421
63	1204	149322
64	1223	149377
65	1241	149300
66	1261	149349
67	1280	149403
68	1300	149515
69	1319	149494
70	1337	149403
71	1357	149440
72	1376	149521
73	1393	149297
74	1411	149185
75	1429	149031
76	1447	148899
77	1464	148752
78	1482	148658
79	1503	148799
80	1526	149273
81	1537	148481
82	1554	148309
83	1566	147650
84	1585	147601
85	1602	147469
86	1621	147474
87	1639	147403
88	1661	147672
89	1679	147584
90	1698	147640
91	1716	147565
92	1735	147550
93	1757	147852
94	1779	148097
95	1798	148056
96	1811	147597
97	1828	147475
98	1846	147373
99	1865	147355
100	1883	147279
101	1901	147232
102	1921	147285
103	1940	147294
104	1958	147232
105	1976	147193
106	1997	147313
107	2015	147269
108	2034	147281
109	2053	147323
110	2072	147284
111	2095	147553
112	2115	147664
113	2136	147815
114	2155	147812
115	2177	147991
116	2196	147976
117	2215	148015
118	2235	148055
119	2252	147928
120	2272	147994
121	2290	147933
122	2310	147934
123	2332	148121
124	2350	148059
125	2365	147849
126	2383	147740
127	2400	147649
128	2419	147601
129	2438	147649
130	2462	147938
131	2482	147979
132	2504	148122
133	2519	147873
134	2535	147729
135	2551	147546
136	2569	147472
137	2587	147424
138	2606	147394
139	2623	147296
140	2645	147476
141	2662	147365
142	2683	147461
143	2699	147293
144	2718	147259
145	2737	147241
146	2754	147175
147	2772	147077
148	2791	147080
149	2814	147298
150	2835	147407
151	2854	147405
152	2873	147399
153	2894	147490
154	2912	147401
155	2930	147356
156	2949	147342
157	2966	147256
158	2985	147226
159	3006	147316
160	3024	147274
161	3032	146739
162	3049	146598
163	3065	146466
164	3086	146545
165	3105	146561
166	3125	146609
167	3145	146660
168	3165	146663
169	3182	146585
170	3204	146702
171	3223	146709
172	3241	146641
173	3262	146756
174	3282	146761
175	3303	146867
176	3320	146750
177	3335	146589
178	3351	146453
179	3366	146267
180	3384	146212
181	3405	146270
182	3424	146280
183	3444	146331
184	3464	146369
185	3480	146237
186	3498	146181
187	3516	146138
188	3534	146089
189	3555	146138
190	3573	146111
191	3594	146186
192	3615	146232
193	3636	146312
194	3652	146190
195	3670	146155
196	3691	146225
197	3708	146143
198	3726	146067
199	3746	146100
200	3766	146135
201	3785	146140
202	3804	146135
203	3824	146165
204	3833	145777
205	3851	145729
206	3869	145672
207	3891	145788
208	3910	145774
209	3928	145733
210	3949	145791
211	3959	145467
212	3980	145538
213	4001	145584
214	4021	145601
215	4039	145575
216	4057	145539
217	4074	145438
218	4086	145186
219	4102	145087
220	4122	145111
221	4144	145197
222	4158	145040
223	4177	145021
224	4196	145020
225	4217	145088
226	4237	145102
227	4257	145136
228	4279	145217
229	4297	145173
230	4314	145112
231	4336	145185
232	4356	145215
233	4364	144856
234	4382	144818
235	4397	144681
236	4416	144663
237	4434	144627
238	4455	144673
239	4473	144656
240	4492	144625
241	4515	144751
242	4531	144648
243	4551	144692
244	4572	144721
245	4596	144868
246	4614	144830
247	4633	144844
248	4654	144891
249	4674	144918
250	4695	144949
251	4712	144884
252	4734	144977
253	4743	144645
254	4760	144589
255	4782	144658
256	4802	144697
257	4823	144746
258	4837	144569
259	4853	144495
260	4871	144456
261	4890	144437
262	4901	144188
263	4921	144219
264	4944	144326
265	4960	144218
266	4983	144327
267	5003	144363
268	5022	144354
269	5042	144372
270	5063	144414
271	5085	144485
272	5096	144237
273	5119	144348
274	5135	144267
275	5158	144360
276	5177	144356
277	5197	144376
278	5217	144381
279	5238	144427
280	5255	144374
281	5272	144297
282	5290	144275
283	5299	143988
284	5313	143840
285	5331	143799
286	5353	143875
287	5374	143906
288	5393	143918
289	5411	143860
290	5429	143838
291	5448	143819
292	5469	143865
293	5486	143813
294	5507	143860
295	5527	143871
296	5546	143855
297	5566	143860
298	5585	143870
299	5605	143867
300	5615	143636
301	5633	143607
302	5654	143627
303	5675	143685
304	5694	143673
305	5711	143611
306	5731	143631
307	5750	143603
308	5768	143580
309	5788	143590
310	5807	143583
311	5824	143519
312	5843	143517
313	5862	143490
314	5882	143523
315	5904	143580
316	5923	143570
317	5951	143761
318	5973	143830
319	5985	143647
320	6003	143618
321	6021	143590
322	6028	143291
323	6045	143235
324	6066	143255
325	6084	143227
326	6105	143268
327	6114	143013
328	6130	142943
329	6149	142927
330	6170	142970
331	6191	142991
332	6212	143039
333	6230	142992
334	6249	142985
335	6268	142982
336	6288	142999
337	6310	143040
338	6332	143104
339	6351	143086
340	6370	143087
341	6388	143038
342	6406	143013
343	6426	143032
344	6447	143063
345	6467	143070
346	6484	143020
347	6502	142971
348	6519	142934
349	6541	142967
350	6548	142712
351	6563	142611
352	6582	142586
353	6600	142573
354	6621	142594
355	6640	142578
356	6658	142553
357	6679	142581
358	6698	142578
359	6719	142595
360	6741	142644
361	6763	142700
362	6784	142741
363	6803	142727
364	6823	142729
365	6842	142712
366	6861	142712
367	6879	142668
368	6898	142656
369	6915	142616
370	6937	142655
371	6957	142667
372	6977	142666
373	6996	142662
374	7019	142725
375	7030	142557
376	7049	142547
377	7070	142564
378	7083	142432
379	7103	142443
380	7121	142404
381	7140	142404
382	7161	142416
383	7180	142422
384	7198	142387
385	7218	142382
386	7238	142389
387	7259	142411
388	7277	142393
389	7297	142398
390	7317	142410
391	7333	142336
392	7353	142344
393	7370	142293
394	7391	142304
395	7409	142274
396	7428	142259
397	7445	142221
398	7464	142201
399	7487	142262
400	7505	142223
401	7523	142200
402	7543	142203
403	7562	142197
404	7582	142193
405	7604	142237
406	7624	142241
407	7643	142224
408	7664	142254
409	7682	142221
410	7698	142153
411	7721	142213
412	7738	142160
413	7757	142141
414	7776	142133
415	7787	141964
416	7810	142028
417	7826	141961
418	7848	141998
419	7865	141949
420	7883	141914
421	7903	141919
422	7925	141957
423	7942	141917
424	7963	141932
425	7984	141957
426	8001	141911
427	8023	141952
428	8043	141959
429	8067	142017
430	8082	141936
431	8101	141922
432	8117	141865
433	8140	141921
434	8161	141942
435	8181	141938
436	8201	141935
437	8221	141946
438	8241	141937
439	8260	141937
440	8278	141893
441	8297	141875
442	8316	141875
443	8338	141896
444	8358	141911
445	8379	141930
446	8392	141801
447	8412	141817
448	8433	141824
449	8455	141859
450	8474	141850
451	8493	141838
452	8514	141858
453	8536	141882
454	8557	141896
455	8577	141898
456	8596	141888
457	8617	141905
458	8634	141861
459	8654	141851
460	8671	141812
461	8689	141780
462	8710	141788
463	8728	141762
464	8745	141710
465	8764	141697
466	8781	141655
467	8802	141666
468	8820	141642
469	8840	141628
470	8858	141601
471	8881	141651
472	8900	141641
473	8919	141620
474	8938	141609
475	8961	141644
476	8980	141633
477	9000	141627
478	9019	141620
479	9040	141634
480	9059	141617
481	9080	141632
482	9100	141632
483	9118	141605
484	9138	141600
485	9162	141660
486	9183	141671
487	9203	141666
488	9223	141669
489	9243	141670
490	9265	141704
491	9287	141731
492	9310	141767
493	9330	141776
494	9350	141768
495	9370	141760
496	9391	141782
497	9407	141719
498	9427	141708
499	9444	141669
500	9463	141643
501	9483	141641
502	9502	141625
503	9525	141670
504	9543	141644
505	9565	141672
506	9585	141671
507	9606	141682
508	9627	141681
509	9646	141671
510	9666	141671
511	9688	141695
512	9710	141723
513	9732	141748
514	9756	141806
515	9773	141754
516	9795	141780
517	9818	141817
518	9837	141799
519	9858	141813
520	9877	141788
521	9895	141765
522	9913	141731
523	9933	141720
524	9955	141742
525	9975	141737
526	9995	141743
527	10018	141777
528	10040	141802
529	10063	141835
530	10081	141808
531	10100	141790
532	10121	141790
533	10143	141820
534	10163	141815
535	10186	141848
536	10207	141857
537	10228	141873
538	10250	141892
539	10271	141894
540	10292	141904
541	10311	141892
542	10332	141900
543	10351	141878
544	10370	141861
545	10388	141828
546	10409	141836
547	10430	141835
548	10450	141839
549	10471	141835
550	10492	141845
551	10516	141901
552	10536	141893
553	10560	141939
554	10580	141932
555	10602	141954
556	10625	141981
557	10645	141980
558	10665	141973
559	10683	141942
560	10704	141943
561	10722	141916
562	10743	141921
563	10763	141909
564	10781	141870
565	10802	141880
566	10821	141862
567	10839	141826
568	10859	141824
569	10876	141780
570	10896	141763
571	10913	141724
572	10937	141767
573	10954	141719
574	10977	141748
575	10996	141731
576	11015	141707
577	11035	141700
578	11054	141689
579	11077	141717
580	11096	141699
581	11119	141731
582	11143	141770
583	11165	141785
584	11188	141812
585	11209	141821
586	11228	141805
587	11251	141833
588	11271	141825
589	11294	141845
590	11315	141851
591	11334	141834
592	11354	141832
593	11379	141878
594	11401	141895
595	11423	141906
596	11444	141917
597	11466	141928
598	11489	141956
599	11510	141960
600	11530	141956
601	11554	141992
602	11575	141996
603	11597	142011
604	11617	142000
605	11637	141991
606	11657	141983
607	11677	141977
608	11700	142000
609	11718	141968
610	11740	141976
611	11759	141960
612	11783	141996
613	11801	141960
614	11823	141982
615	11845	141994
616	11867	142006
617	11887	141998
618	11908	141996
619	11928	141984
620	11948	141980
621	11969	141984
622	11990	141986
623	12013	142008
624	12034	142007
625	12055	142004
626	12074	141986
627	12092	141956
628	12111	141932
629	12131	141924
630	12154	141947
631	12175	141945
632	12196	141950
633	12217	141948
634	12238	141949
635	12259	141945
636	12279	141932
637	12301	141948
638	12321	141936
639	12343	141948
640	12366	141972
641	12383	141930
642	12404	141924
643	12424	141913
644	12445	141914
645	12465	141908
646	12485	141899
647	12509	141931
648	12529	141916
649	12550	141919
650	12569	141890
651	12588	141868
652	12610	141880
653	12634	141912
654	12655	141917
655	12678	141938
656	12699	141931
657	12717	141899
658	12740	141927
659	12760	141910
660	12780	141899
661	12801	141895
662	12822	141899
663	12843	141894
664	12864	141897
665	12883	141875
666	12904	141870
667	12927	141889
668	12947	141881
669	12968	141878
670	12986	141848
671	13008	141853
672	13031	141878
673	13054	141897
674	13075	141895
675	13097	141901
676	13118	141901
677	13138	141886
678	13158	141874
679	13176	141846
680	13198	141850
681	13217	141830
682	13240	141844
683	13261	141847
684	13284	141858
685	13305	141857
686	13326	141858
687	13346	141847
688	13365	141826
689	13386	141817
690	13406	141809
691	13425	141784
692	13446	141776
693	13466	141764
694	13488	141769
695	13510	141785
696	13531	141779
697	13554	141793
698	13574	141782
699	13596	141793
700	13613	141749
701	13633	141731
702	13656	141748
703	13677	141749
704	13698	141744
705	13718	141733
706	13736	141699
707	13757	141691
708	13775	141656
709	13796	141659
710	13817	141655
711	13834	141609
712	13854	141599
713	13877	141613
714	13897	141594
715	13916	141573
716	13937	141569
717	13957	141553
718	13975	141526
719	13995	141511
720	14016	141508
721	14038	141517
722	14057	141492
723	14077	141474
724	14098	141468
725	14116	141434
726	14136	141420
727	14159	141437
728	14182	141453
729	14202	141438
730	14219	141401
731	14241	141403
732	14265	141427
733	14285	141418
734	14306	141405
735	14325	141389
736	14349	141407
737	14368	141389
738	14387	141362
739	14406	141342
740	14426	141329
741	14447	141321
742	14466	141299
743	14489	141309
744	14509	141299
745	14529	141287
746	14550	141279
747	14571	141272
748	14591	141254
749	14612	141253
750	14634	141257
751	14653	141238
752	14672	141208
753	14691	141181
754	14710	141166
755	14730	141145
756	14752	141155
757	14772	141141
758	14794	141139
759	14815	141135
760	14836	141127
761	14856	141118
762	14875	141094
763	14895	141079
764	14916	141071
765	14938	141074
766	14960	141077
767	14983	141091
768	15004	141088
769	15024	141071
770	15047	141089
771	15067	141072
772	15090	141087
773	15113	141101
774	15135	141105
775	15157	141103
776	15178	141095
777	15200	141107
778	15221	141095
779	15242	141091
780	15263	141082
781	15282	141058
782	15302	141040
783	15322	141028
784	15339	140985
785	15358	140962
786	15380	140965
787	15402	140966
788	15421	140945
789	15441	140924
790	15463	140929
791	15485	140929
792	15504	140909
793	15526	140913
794	15546	140897
795	15570	140919
796	15591	140906
797	15609	140879
798	15627	140845
799	15647	140825
800	15669	140832
801	15692	140841
802	15712	140828
803	15734	140830
804	15757	140842
805	15779	140837
806	15800	140833
807	15820	140820
808	15843	140832
809	15864	140818
810	15881	140779
811	15903	140778
812	15924	140772
813	15944	140756
814	15967	140765
815	15988	140765
816	16012	140778
817	16032	140761
818	16054	140766
819	16076	140768
820	16098	140770
821	16122	140786
822	16142	140769
823	16159	140733
824	16180	140725
825	16201	140717
826	16226	140744
827	16247	140730
828	16269	140733
829	16289	140714
830	16308	140692
831	16328	140672
832	16352	140696
833	16373	140684
834	16394	140676
835	16413	140657
836	16434	140646
837	16453	140621
838	16475	140620
839	16493	140585
840	16511	140551
841	16531	140538
842	16552	140526
843	16571	140504
844	16590	140477
845	16612	140478
846	16632	140465
847	16653	140453
848	16674	140443
849	16695	140440
850	16720	140461
851	16745	140489
852	16766	140477
853	16788	140484
854	16809	140474
855	16829	140453
856	16847	140418
857	16869	140424
858	16890	140413
859	16910	140395
860	16931	140384
861	16953	140391
862	16973	140372
863	16996	140374
864	17017	140373
865	17040	140377
866	17063	140383
867	17085	140385
868	17108	140393
869	17130	140394
870	17150	140371
871	17168	140339
872	17186	140309
873	17207	140301
874	17229	140293
875	17249	140281
876	17270	140267
877	17287	140230
878	17311	140245
879	17331	140225
880	17352	140215
881	17371	140191
882	17392	140185
883	17415	140190
884	17435	140176
885	17456	140161
886	17475	140142
887	17494	140117
888	17515	140107
889	17536	140095
890	17554	140058
891	17573	140036
892	17594	140023
893	17614	140009
894	17636	140005
895	17659	140012
896	17680	140001
897	17702	140003
898	17723	139995
899	17743	139972
900	17767	139991
901	17791	140005
902	17811	139987
903	17831	139970
904	17852	139957
905	17871	139935
906	17893	139934
907	17915	139926
908	17938	139934
909	17957	139908
910	17978	139899
911	17997	139876
912	18017	139857
913	18035	139824
914	18055	139805
915	18074	139785
916	18096	139780
917	18116	139763
918	18139	139765
919	18159	139748
920	18180	139735
921	18203	139741
922	18224	139732
923	18243	139706
924	18263	139693
925	18286	139693
926	18306	139677
927	18329	139681
928	18350	139673
929	18372	139671
930	18394	139668
931	18416	139665
932	18437	139657
933	18458	139641
934	18478	139629
935	18499	139612
936	18518	139592
937	18542	139599
938	18564	139596
939	18585	139592
940	18608	139594
941	18626	139560
942	18645	139535
943	18667	139533
944	18686	139506
945	18705	139479
946	18726	139470
947	18745	139447
948	18768	139448
949	18790	139445
950	18807	139404
951	18827	139384
952	18845	139353
953	18867	139351
954	18888	139338
955	18912	139348
956	18931	139329
957	18953	139325
958	18975	139321
959	18997	139314
960	19017	139297
961	19040	139297
962	19059	139273
963	19081	139273
964	19103	139266
965	19123	139246
966	19143	139233
967	19168	139247
968	19191	139255
969	19210	139228
970	19230	139208
971	19249	139185
972	19268	139155
973	19292	139168
974	19313	139156
975	19332	139133
976	19353	139119
977	19373	139101
978	19395	139095
979	19414	139068
980	19436	139069
981	19456	139050
982	19476	139032
983	19496	139013
984	19516	138996
985	19538	138989
986	19557	138961
987	19577	138945
988	19598	138933
989	19619	138918
990	19642	138924
991	19663	138913
992	19685	138912
993	19708	138909
994	19726	138880
995	19754	138917
996	19779	138930
997	19803	138939
998	19825	138934
999	19844	138914
1000	19864	138890
1001	19886	138886
1002	19904	138857
1003	19927	138855
1004	19947	138839
1005	19967	138819
1006	19988	138807
1007	20010	138803
1008	20030	138780
1009	20051	138769
1010	20069	138741
1011	20091	138731
1012	20111	138714
1013	20134	138717
1014	20156	138713
1015	20179	138711
1016	20200	138699
1017	20218	138672
1018	20237	138641
1019	20255	138609
1020	20276	138601
1021	20300	138607
1022	20321	138595
1023	20341	138577
1024	20361	138559
1025	20380	138533
1026	20399	138504
1027	20418	138483
1028	20438	138464
1029	20460	138459
1030	20477	138417
1031	20497	138397
1032	20515	138367
1033	20534	138338
1034	20555	138327
1035	20576	138317
1036	20596	138297
1037	20613	138260
1038	20634	138247
1039	20655	138229
1040	20677	138228
1041	20699	138222
1042	20719	138204
1043	20741	138194
1044	20762	138183
1045	20781	138159
1046	20802	138147
1047	20821	138119
1048	20839	138091
1049	20864	138104
1050	20883	138078
1051	20903	138055
1052	20922	138036
1053	20940	138000
1054	20965	138011
1055	20982	137976
1056	21003	137965
1057	21024	137952
1058	21045	137936
1059	21064	137914
1060	21086	137907
1061	21105	137883
1062	21126	137869
1063	21145	137842
1064	21164	137815
1065	21183	137792
1066	21204	137776
1067	21224	137757
1068	21244	137743
1069	21266	137732
1070	21286	137719
1071	21307	137701
1072	21328	137688
1073	21348	137670
1074	21372	137675
1075	21391	137656
1076	21409	137618
1077	21430	137608
1078	21450	137588
1079	21471	137574
1080	21492	137567
1081	21511	137539
1082	21532	137524
1083	21553	137510
1084	21575	137507
1085	21596	137492
1086	21619	137491
1087	21639	137474
1088	21661	137466
1089	21682	137455
1090	21703	137443
1091	21723	137419
1092	21743	137401
1093	21763	137382
1094	21782	137360
1095	21804	137349
1096	21827	137351
1097	21848	137340
1098	21869	137327
1099	21890	137315
1100	21911	137301
1101	21933	137295
1102	21951	137261
1103	21972	137245
1104	21989	137212
1105	22011	137205
1106	22029	137171
1107	22045	137126
1108	22067	137119
1109	22085	137088
1110	22105	137068
1111	22123	137040
1112	22143	137017
1113	22164	137008
1114	22184	136985
1115	22205	136973
1116	22224	136950
1117	22246	136940
1118	22267	136930
1119	22289	136920
1120	22309	136899
1121	22330	136889
1122	22351	136873
1123	22371	136856
1124	22393	136849
1125	22418	136861
1126	22441	136857
1127	22460	136831
1128	22480	136811
1129	22502	136804
1130	22525	136805
1131	22548	136802
1132	22569	136789
1133	22588	136763
1134	22609	136750
1135	22631	136742
1136	22650	136717
1137	22671	136705
1138	22693	136699
1139	22714	136684
1140	22733	136659
1141	22755	136653
1142	22775	136635
1143	22795	136615
1144	22819	136619
1145	22841	136610
1146	22861	136591
1147	22881	136571
1148	22901	136552
1149	22920	136525
1150	22943	136524
1151	22965	136518
1152	22986	136501
1153	23008	136498
1154	23031	136495
1155	23052	136482
1156	23072	136461
1157	23094	136451
1158	23114	136430
1159	23137	136430
1160	23156	136406
1161	23178	136395
1162	23197	136374
1163	23221	136376
1164	23240	136350
1165	23261	136334
1166	23279	136306
1167	23303	136306
1168	23325	136300
1169	23345	136280
1170	23363	136249
1171	23383	136230
1172	23403	136211
1173	23426	136207
1174	23449	136206
1175	23470	136190
1176	23488	136158
1177	23507	136137
1178	23528	136120
1179	23549	136105
1180	23569	136091
1181	23589	136068
1182	23610	136056
1183	23632	136048
1184	23655	136041
1185	23677	136034
1186	23697	136018
1187	23719	136008
1188	23741	135997
1189	23760	135976
1190	23781	135959
1191	23802	135944
1192	23826	135947
1193	23848	135940
1194	23871	135937
1195	23892	135922
1196	23912	135903
1197	23935	135901
1198	23954	135877
1199	23974	135855
1200	23996	135846
1201	24017	135831
1202	24038	135816
1203	24060	135811
1204	24082	135798
1205	24102	135778
1206	24123	135764
1207	24141	135733
